tweet,label
"Hey man, do u remember that advertisement where one old guy goes ""kunaaal "" ,when he smells deo of the guy on his daughter. That daughter is India trying to be independent and liberal. Rest u know  Kunal Kamra",1
Over excited bhakts on Sunday,0
"fter banging the tahlee, talee and ghantee.. the Nation was on high risk of corona virus  due to celebration like festival.... and by not maintaining social distance.",0
,0
"I don’t know what benefit our nation will get after flashing mobile light, candle",0
Big Step Towards Global Fight Against COVID-19.... Indian Politicians Should Learn Something From This..,0
" I, honestly, hoped our Prime Minister would talk about his preparation to fight the #coronavirus but I was caught off guard when I heard that bhakts are gonna celebrate Diwali this April ",0
Yea !!! Bakts are ready,0
"“Oy Corona, you’re finished ! “",0
Kunal what will you do apart from making memes... government is doing there job... it’s the ass hole people who are not following.... you have so many followers instead of sharing some positive thing you are sharing all this... it’s not that I’m supporting modi... it’s time we should stand together instead of this blame game...,0
In nine minutes the virus will lose its sight yea aaaa.It won't be able to see anymore yea aaaa.,0
"They are well coming corona virus in India on April 05, 2020 as usual.",0
Whats app University bhakt..,1
And your ass,1
"Diya s will used instead of Masks and sanitizers to fight Corona Virus , what a NOVAL idea for Andh Bhakts",1
Instead of being in the news room this is the place he deserves to be,0
"I appeal to all Indian,instead of spending money (even 5-10 rs on nonsense)and time, please donate this money and ur time to needy people.",0
Actual profession of this #ArnabAndhbhakht..,1
Fools Day shifting on 5th. April,1
"you forgot your caption ""who did this?""",0
Modi ji you have to light candles on 5th April,0
People,0
Who did this nation wants to know,0
Your favorite dialogue that,0
Who did this? ...,0
Appreciated...,0
The nation wants to light lamps Arnab,1
"I swear...while watching the telecast, for a moment I thought Sunday",0
Kamra you are an asshole,1
Stay tuned ...9am ..9pm ..9minute btt not 9 people ...99% prayog ...,0
Ab who did this? ,0
Important announcement by a pm for lighting a candle !!!,0
police wants to know your location ,0
Turn LEFT & get out,1
This shameless lapdog journalist is a boot licker.,1
 Nation want to know how how how u will sell diya in lockdow,0
Funny ....... asshole,1
Btw what do u do apart from obsessing about Modi and Arnub?? ,0
Meanwhile #pattas merchant from sivakashi,0
Bhakts be like ,0
Fool's day shifted from 1 April to 5 April... by UNESCO ,0
This is Indian culture you will not understand because for this u need knowledge and u don't have this,1
"Come on, there will be some benefit of the inside!! Rules Big!! ",0
Brother Kunal.. How does your mind work..,0
"I can see him.... Father made in the factory of Modi.... gave waves, 10 K 2, 10 k 2. ",0
 No one will buy the lamps and lamps of China. Everyone should use the lamps of India..... and no one will buy the flash of Chinese mobile.,0
"fuck you have given me, don't be angry ",1
Sudheer will be giving his ass it at a low rate ,1
Friend!! How much are you taking care of the devotees  I'm extreme right now ,0
You are going to be injured for calling us fools,1
He is better than you brother.,0
It is on 5th to burn candles and candles.,0
,0
But some idiots perv just started to start,1
"Brother, will you leave the life of Arnab? ",0
What did you take a little surya    he will not understand himself MP,0
People will miss arnab's show on 9 PM FOR 9 minutes. Oh re,0
"Oh Kunal, I have got 2 ",0
Fool's day shifted from 1 April to 5 April... by UNESCO ,0
This is the right place of these people.,0
It's too much friend... What's going on brother... #Andhbhakth,0
"When will he stop following this man, brother, he has forgotten you.",0
No need of turning off lights,0
There will be power cut at that time,0
"If you dont have candles, atleast adjust with one cigarette or beedi plz ",0
"After seeing the experience of thali thali, it seems that this is just the spare of the entire house....",0
"In the dark night,",0
"In your hand,",0
Devendra Ji your friend shop is open,0
Lokesh Kumar,0
"Kunal brother, how many content modi ji is being busy, sir, you are missing. Now the group will not talk about it.",0
By banging plates and clapping we Indians have been successful to control Corona outbreak.,0
,0
Now Pls respect,0
The Diya and Candle Therapy,0
,0
Very soon we will also get,0
# 15$ for 1Re,0
# LPG for 300 Rs,0
# Petrol for 40 Rs.,0
# 15 Lakh into every Individuals personal account,0
,0
Have Patience!!! ,0
,0
you all are insolent fools,1
,0
Also read the #piedpiper story.,0
,0
Have some pity on those innocent rat souls.,0
 irony is u believe in Vaastu,1
That is why I am trying to save Indians from being soo royally fooled ,1
Librandu :- What will happen by burning the lamp-Candle?,0
,0
Sanghi Sastik :- perception of collectivity. Who will make us realize that we are not alone in fight with the disaster like the corona. But in this war we are standing with all the nation,0
Kunal Kamra-dear idiot.....,0
"want to say something about markaz kand,indore mob lynching,stone pelting on police...,.?",1
"If you can't take a big kiss Saturday and take in your......... you must have understood....... and ha stupid, listen to a little chat too..... because these people are beating you. So don't you like it.",1
 Instead of giving Essentials to the hands of the nation...,0
put that essentials in your ass,1
"This Sunday, hope people seriously follow social distancing. This will more than keep you safe from the virus. It will keep their smelly asses from getting burnt.",1
Devotees forgot to hold a candle in the main place and lit up all india,1
Kunal and everyone needs to see this child predicted corona virus crisis 7 months ago on 22nd August 2019.,0
Ancient vedic science was far advanced and then people took it very lightly.,0
after maulana apologize in one next minute nxt 59 minutes Arnab Goswami ,1
 I thought he would talk serious this time..,0
"He Will talk about ventilators,",0
He will talk about mask and safety of doctors and nurse,0
" 'when all the lines are closed, the corona will feel that there is no one in India and he will run away'",0
" In the watch of this crisis,",0
"If every poor will be able to burn the stove,",0
"So he will be able to play the plate, he will be able to burn",0
"It is not the one who can explain the heart of the person who does not understand the heart """" the person who has been killed by the parathamita'o has",0
you guys will follow him like a god but he is not idiot in this you people are you stupid assholes,1
